departement,communes ,habitants,mise_en_commun_agent_municipal_commune ,agents_police,asvp,gardes_champetres,maitre_chien,chien_police,commune-brigade_cynophile
4,SAINTE TULLE,3500,0,3,0,0,0,0,0
4,SISTERON,7878,0,8,1,0,0,0,0
4,UVERNET FOURS,547,0,1,0,0,0,0,0
4,VALENSOLE,3200,0,1,1,0,0,0,0
4,VILLENEUVE,4439,0,2,0,0,0,0,0
4,VOLX,3283,0,1,0,0,0,0,0
5,BRIANCON,10600,0,9,3,0,0,0,0
5,CHORGES,3145,0,0,2,0,0,0,0
5,EMBRUN,6500,0,2,2,0,0,0,0
5,GAP,41935,0,18,16,0,0,0,0
5,GUILLESTRE,2370,0,1,2,0,0,0,0
5,L’ARGENTIERE LA BESSEE,2255,0,1,0,0,0,0,0
5,LA SALLE LES ALPES,1000,0,2,2,0,0,0,0
5,LARAGNE MONTEGLIN,3360,0,1,1,0,0,0,0
5,LE DÉVOLUY,895,0,0,2,0,0,0,0
5,LE MONETIER LES BAINS,1000,0,2,0,0,0,0,0
5,LES ORRES,519,0,1,4,0,0,0,0
5,MONTGENEVRE,457,0,0,3,1,0,0,0
5,ORCIERES,750,0,1,4,0,0,0,0
5,PUY SAINT VINCENT,292,0,0,3,0,0,0,0
5,REMOLLON,456,0,0,1,0,0,0,0
5,RISOUL,735,0,1,7,0,0,0,0
5,SAINT ANDRE D'EMBRUN,702,0,0,1,0,0,0,0
5,SAINT BONNET EN CHAMPSAUR,2078,0,0,1,0,0,0,0
5,SAINT CHAFFREY,1523,0,1,2,1,0,0,0
5,SAVINES LE LAC,1146,0,0,1,0,0,0,0
5,SERRES,1311,0,1,0,0,0,0,0
5,SIVOM LA GRAVE - VILLAR D'ARENE,800,0,0,1,0,0,0,0
5,ST MICHEL DE CHAILLOL,372,0,0,1,0,0,0,0
5,TALLARD,2300,0,1,0,0,0,0,0
5,VALLOUISE-PELVOUX,1129,0,0,1,0,0,0,0
5,VARS,554,0,2,7,0,0,0,0
5,VEYNES,3385,0,1,1,0,0,0,0
5,VILLARD SAINT PANCRACE,1478,0,0,1,0,0,0,0
6,ANTIBES,75779,0,73,13,0,0,0,0
6,ASPREMONT,2187,1,1,0,0,0,0,0
6,BEAULIEU-SUR-MER,3800,0,8,2,0,0,0,0
6,BEAUSOLEIL,13600,1,16,7,0,2,2,1
6,BIOT,9668,0,16,0,0,0,0,0
6,BLAUSASC,1659,0,0,0,1,0,0,0
6,BREIL-SUR-ROYA,2400,0,2,0,0,0,0,0
6,CABRIS,1300,0,0,0,1,0,0,0
6,CAGNES-SUR-MER,53300,0,33,13,0,0,0,0
6,CANNES,74285,0,195,65,0,5,4,1
6,CAP D'AIL,4573,0,4,3,0,0,0,0
6,CARROS,13419,0,18,4,0,0,0,0
6,CASTAGNIERS,1596,1,1,0,0,0,0,0
6,CHATEAUNEUF-GRASSE,3716,0,1,0,1,0,0,0
6,COLOMARS,3500,0,2,0,0,0,0,0
6,EZE,2189,0,7,2,0,0,0,0
6,FALICON,2200,0,1,1,0,0,0,0
6,GRASSE,49163,0,56,26,0,0,0,0
6,ISOLA,653,0,1,0,0,0,0,0
6,LA COLLE-SUR-LOUP,8048,0,8,2,0,0,0,0
6,LA GAUDE,7242,0,4,0,0,0,0,0
6,LA ROQUETTE-SUR-SIAGNE,5506,0,4,3,0,0,0,0
6,LA TRINITE,10300,0,14,4,0,1,1,1
6,LA TURBIE,3000,0,5,1,0,0,0,0
6,LE BAR-SUR-LOUP,2900,0,2,0,0,0,0,0
6,LE CANNET,42125,0,64,24,0,0,0,0
6,LE ROURET,4200,1,2,0,0,0,0,0
6,LE TIGNET,3069,0,2,0,0,0,0,0
6,LEVENS,5100,0,1,1,0,0,0,0
6,MANDELIEU-LA NAPOULE,21828,0,41,14,0,0,0,0
6,MENTON,31797,0,33,25,0,0,0,0
6,MOUANS SARTOUX,10720,0,11,1,0,0,0,0
6,MOUGINS,20150,0,37,5,0,0,0,0
